title,ingredients,instructions,food_types,description,average_rating,minutes,n_ingredients,n_steps,score
famous  garlic noodles,"yakisoba noodles, cooking oil, fresh garlic, garlic powder, chicken broth, soy sauce, fish sauce, oyster sauce","loosen the yakisoba noodles in a large pan. in a large saut pan , add the cooking oil , cook in medium heat. add the fresh garlic , about 10 seconds , add the granulated garlic. add the noodles right away , then , add the chicken broth. stir the noodles around to blend with the garlic mix. add the soy sauce , and then the fish sauce. stir constantly but be careful not to break the noodles apart. cook until noodles are smooth and coated. add the oyster sauce and stir about 5 more minutes. serve plain or with any of the toppings mentioned above",Healthy,"a one in a million dish craved by thousands of attendees of the maui swap meet. it is still sought after it was discontinued when the swap meet moved to a new location.  popular toppings for this dish are grilled teri-chicken, teri-beef, shrimp curry or just with chopped green onions.",4.75,20,8,10,4.548123037
funny bones  cake,"cream cheese, creamy peanut butter, powdered sugar, vanilla, milk, devil's food cake mix, vegetable oil, sour cream, eggs, light cream","for the filling: beat the cream cheese and peanut butter until combined. add the powdered sugar and vanilla and beat until combined. beat in milk , 1 t at a time , until you reach desired consistency. set aside. for the cake: preheat oven to 350 degrees. spray a 12 cup bundt pan with cooking spray for baking. mix cake mix , oil , sour cream and eggs in a bowl. beat 1 or 2 minutes at medium speed. reserve 2 cups of the batter. pour remaining batter into the prepared pan. put peanut butter filling in a ring on top of batter. spoon reserved batter on top. bake for 40-50 minutes. cool 20 minutes and remove from pan onto wire rack. for the glaze: mix powdered sugar , vanilla and lt. cream until smooth. add more cream as needed to desired consistancy. when cake is cool , place on serving platter and drizzle with glaze",Non-Veg dessert,"this is a chocolate bundt cake with peanut butter ""tunnel"".  made to taste like drakes funny bones.",4.75,60,10,18,4.548123037
gilded  zucchini,"zucchini, salt, eggs, milk, breadcrumbs, oil","wash and peel the zucchini and cut into long strips. season with salt and pepper. mix the eggs , milk and salt , dip the zucchini strips into the mixture and then roll in the breadcrumbs. saute until crisp on the outside but not overcooked , about 2-3 minutes. serve",Healthy,"tested recipes from the graubunden, by the chur chapter of the swiss women's institutes.  submitted for zwt7.  a lovely vegetarian dish.",4.833333333,20,6,5,4.63849843
gimme a cheap weeknight dinner  quick,"ground beef, cream of potato soup, milk, celery, garlic, green onions, frozen peas, frozen corn, worcestershire sauce, black pepper, onion powder, egg noodles, warm water, parmesan cheese","brown ground beef , along with garlic , celery and green onions. add cream of potato soup and milk and bring just to a boil. lower heat to a simmer and add worcestershire sauce , pepper and onion powder. in a pot of boiling water , cook egg noodles halfway. about 5-6 minutes. drain noodles and add to skillet with ground beef mixture. add peas , corn , cheese and water and stir well. allow to simmer for 15 minutes , stirring occasionally",Non-veg,"c'mon, admit it! at some time in your life, you have eaten ""hamburger helper."" i know that it was a staple in our house when i was a kid. the little talking glove is comforting in a twisted kind of way. :o) anyway, this recipe looks like hamburger helper, but tastes much better. sure there are recipes out there that are probably better for you or tastier but when you are trying to eat quickly and on a budget, this recipe is a must.",4.3,35,14,8,4.313213164
grilled   salmon,"salmon fillets, blackening seasoning","just spray cast iron skillet with cooking spray and turn burner on high. rub seasonings on both sides salmon. when pan is smoking hot , add salmon. cook for about 2-3 minutes. turn and cook for another 2-3 minutes. turn again if needed to prevent meat from burning. turn electric burner off. immediately cover skillet and leave it on the hot burner another 4-5 minutes or until meat is done. do not overcook , as the meat will dry out. it will look as if it were cooked on the grill , nice and brown on the outside and juicy on the inside. i also use this same method to cook boneless , skinless chicken breasts and boneless pork loin chops and vary the seasonings to complement the meat. with just a tiny bit of practice , you'll know exactly how long to let the skillet sit on the burner after you have turned it off-- so you get the meat done and it's still very juicy",Healthy,"i use this delicious fat-free method of cooking salmon, chicken and pork chops at least 2-3 times a week, varying the meats and seasonings.",5.0,15,2,12,4.798844946
ham  solo savory cake,"shredded cheddar cheese, nonstick cooking spray, bisquick, milk, sugar, egg, salt, gruyere cheese, red onion, deli ham, chives, unsalted butter","make the cheese garnish:. place 1 cups of cheddar cheese in a microwave safe bowl and microwave in 15 second intervals , stirring in between , until smooth and pliable. scoop the cheese into the mold , pressing and spreading into the bottom. you dont want to fill the entire mold - just the han solo indentations and enough to cover the entire rectangle. microwave for 15 seconds then tap on the counter. freeze until solid at least 1 hour. carefully remove the cheese from the mold and set aside in the fridge. make the savory cake:. preheat the oven to 350 degrees f. line a 7x11 inch cake pan with parchment paper and spray with nonstick spray. combine the bisquick , milk , sugar , egg , and salt in a large bowl and beat with an electric hand mixer until combined. add the gruyere cheese , sauted onion , ham , and chives and fold with a spatula to combine. pour the mixture into the prepared cake pan and bake until lightly golden brown , about 30-35 minutes or until a toothpick comes out clean. let the cake cool completely in pan. meanwhile , take the han solo cheese garnish out of the fridge and let come to room temperature. run a small offset around the edges of the cake and invert onto a cutting board. remove parchment paper and then invert again. if needed , level the top of the cake with a serrated knife. place the cheese garnish on top of the cake and trim the cake with a serrated knife so that the cake and cheese have the same dimensions. set the cheese garnish aside and spread the softened butter over the top of the cake. place the cheese on top of the butter , pressing to adhere. transfer the cake to a platter and serve with more ham and butter",Veg dessert,"carbonite takes the shape of cheese in this flavorful savory cake, inspired by han solo.",0.833333333,215,12,22,2.23849843
hamburger  buns  zero carb,"eggs, low fat cottage cheese, cream of tartar, splenda sugar substitute","preheat oven to 350 degrees. separate your eggs making sure there is absolutely no yolk in the white mixture. in a small bowl , mix together egg yolks , cottage cheese , and sweetener until creamy. in a larger bowl , add egg whites and cream of tartar and beat the whites with an electric mixer on high until fluffy. you want this mixture to be well whipped and quite stiff - under mixing will result in a very runny mixture. carefully fold egg yolk mixture into the egg whites with a large spatula , until evenly mixed. try not to over-mix , you don't want to loose the 'fluffiness' of the egg whites mixture. spray two cookie sheets with pam. with a large spoon ""scoop"" the mixture into 10 even rounds on the sheets. place cookie sheet the middle rack and set timer for 20 minutes. now you will need to watch them , because the cooking time may vary on any two batches. basically , you want them to bake until they become nice and golden brown color. remove from the pans and cool on a wire rack",Non-Veg dessert,"these mock ""hamburger"" buns are amazingly bread-like in texture (and taste!) and are suitable for all phases of the dukan diet! once completely cool, seal them in a ziplock storage baggie or a tupperware over night. they will totally change their consistency, to something much more like bread - a softer texture that is nice and chewy. while warm they are crumbly and similar to cooked meringue - but don't let this fool you! since the sides that were facing the pan are perfectly flat, you use these to spread things on, or make sandwiches, or even as a burger bun! my favorite is spreading cream cheese on both sides (like a sandwich) and stuffing with a freshly poached egg...delish!",2.6,35,4,13,3.376109366
he proposed   red velvet cake,"all-purpose flour, baking soda, baking powder, salt, cocoa powder, sugar, vegetable oil, eggs, buttermilk, vanilla extract, red food coloring, white distilled vinegar, hot coffee","in a large bowl add flour , baking soda , baking powder , salt & cocoa powder. whisk until well combined. set aside. in a separate large bowl , add sugar and oil. mix until combined. add in eggs , buttermilk , vanilla & red food coloring. stir until combined. next add in the coffee & vinegar. stir until combined. next add in the coffee & vinegar. stir until combined. pour the flour mixture into the sugar mixture a little at a time. beating until well combined. pour the batter into 2 greased & flour 9 inch round cake pans. bake for 30-40 minutes at 350 or until toothpick inserted into center comes out clean. another way to check for doneness is to lightly press the cake on top , if it springs back then it is done , if the dent remains in the cake then it is not done. do not overbake. when the cakes are done let them cool in the pan for about 10-15 minutes. then remove them from the pan and let them finish cooling on a wire rack",Non-Veg dessert,"this may sound cocky, but seriously, stop looking for an amazing, homemade red velvet cake recipe because here she is!!! i've had three professional wedding cake bakers ask me for this ridiculously moist recipe. not only is this red velvet cake ""stick to the back of the fork"" moist, but it's so soft with that perfect red velvety chocolate taste. frost with whipped cream cheese icing and perfecto!!",3.2,50,13,19,3.441314963
healthified  decadent hot chocolate,"sugar, unsweetened baking cocoa, nonfat milk, fat-free half-and-half, semi-sweet chocolate chips, vanilla",mix together the sugar and cocoa in a 2-quart saucepan. stir in the skim milk and half and half until well blended and cook until heated. do not bring to a boil. remove pan from heat. whisk in chocolate chips and stir until chips are melted and the milk mixture is smooth. stir in vanilla and pour into 4 mugs to serve,Veg dessert,"a recipe from tablespoon.com that makes a healthier version of hot chocolate. 50% fewer calories, 77% less fat and 20% more calcium than the original recipe.",4.8,15,6,6,4.598331588
hibachi  style salad dressing,"rice vinegar, lemon juice, soy sauce, honey, ginger juice, sesame oil, mayonnaise","to make ginger juice , peel some fresh ginger and cut into small pieces. put pieces in a garlic press and squeeze. combine all ingredients except mayonnaise in a small bowl and whisk until honey is dissolved. add mayonnaise and whisk again until smooth. good on green salads , cucumbers , and just about anything else !",Healthy,"this is my attempt to replicate a salad dressing from a japanese restaurant i used to frequent many years ago. while this may not be authentically japanese, it sure is tasty! you can really pick up a lot of the individual flavors, and yet they all blend together nicely. this keeps well.",4.6,15,7,5,4.487220477
i can t believe it is butter  margarine spread,"margarine, buttermilk, vegetable oil, butter buds","if you make your own buttermilk , mix vinegar to milk and let it stand at least 20 minutes and stir. in large mixing bowl , add softened margarine , buttermilk , vegetable oil and butter buds flavoring. mix on slow speed until well mixed. put in a container with lid in refrigerator. preparation time includes making your own buttermilk",Healthy,"tastes like butter, costs like margarine. easy to make and refrigerate.",5.0,25,4,5,4.709442699
i don t believe it s      lemon tofu cheesecake,"graham cracker crumbs, maple syrup, almond extract, silken tofu, sugar, tahini, salt, lemon juice, lemon zest, cornstarch, soymilk, slivered almonds","preheat the oven to 350f. in a medium bowl , combine graham cracker crumbs , maple syrup and almond extract. mix until the graham cracker crumbs are moistened. prep a 9 inch springform pan by spraying the bottom and sides with nonstick oil spray , or by oiling with a paper towel. bake the crust for 5 minutes , then remove it from the oven and set it aside to cool while you prepare the filling. blend all the filling ingredients in a food processor for about 30 seconds , or until smooth. pour filling into the springform pan over the cooled crust. bake for about 30 minutes or until the top of the cheesecake is lightly browned. remove the cheesecake from the oven and allow it to cool. place the cooled cheesecake in the refrigerator for at least 2 hours until it is thoroughly chilled and firm. to serve , take a long knife and heat the blade in hot hot water. slide the blade of the knife along the edge of the cooled cheesecake to ensure that it will separate from the pan. release the springform ring , slice , sprinkle with slivered almonds if desired and serve cold",Veg dessert,"it's good... no kidding! vegan or not, this dessert is a great dairy free treat. this works for people with diabetic and/or heart disease diet guidelines. prep time is really chill time... there are about 5 minutes of actual busy work for this recipe, 35 minutes of baking and 2 hours of chilling.",4.125,155,12,13,4.198748691
it s a keeper   fish stick casserole,"frozen hash brown potatoes, cream of chicken soup, cheddar cheese soup, mayonnaise, sweet pickle relish, spicy brown mustard, onion, four-cheese mexican blend cheese, frozen fish sticks","in lg. bowl , stir together all ingredients except for half of the cheese and the fish sticks. spread into 13x9 baking dish. top with frozen fish sticks in 3 rows of 6 longways. sprinkle evenly with the rest of the cheese , spreading , making sure some of it gets down in between and around fish sticks. bake at 350 , uncovered , for about 35-40 minutes. serve with coleslaw and garlic bread",Non-veg,"there are several versions of this recipe, this is how i make it. my nephews love it! it tastes like cheesey fish sticks, potatoes and a slight taste of creamy tartar sauce all baked into one! :) **if you don't like tartar sauce, simply omit the sweet pickle relish. but we love it just like this! :)",3.7,60,9,7,3.807707679
lite  tortillas,"unbleached flour, salt, baking powder, olive oil, water","in a large bowl mix flour and baking powder. in a two cup measuring cup combine 1 cup of water and salt. add 1 / 3 cup of olive oil. pour water and olive oil all at once into the flour mixture and mix with a spoon or your hand quickly. when dough comes together , knead only until the dough is smooth. if your dough is too sticky add more flour 1 tablespoon at a time until it is no longer sticky. divide into 12-16 equal pieces and let it rest for 30 minutes. roll the dough balls out to a 6-7 inch circle for 16 pieces and 8-9 inch circle for 12 pieces on a floured surface. heat an iron skillet over medium heat and place tortilla in the ungreased skillet one at a time. the tortilla will form bubbles all over it. if they grow bigger than quarter pop them. when the spots are lightly browned turn over to brown other side. remove to a covered dish. you may need more flour than usual on your surface because these tortillas are slightly more soft which makes them easier to roll but also sticky if you don't use enough flour. i place a paper towel or cloth in the bottom of the warmer before i start adding the tortillas to prevent the bottom one from getting soggy from steam. if you like the fluffy tortillas like on a muchaco or gordita at chain resturaunts you can add baking powder to this and make circles slightly smaller. they can also be deep fried into taco shell shapes after they are grilled",Healthy,i like this recipe for tortillas because the olive oil is much lighter (reason for the name) than the usual fats used to make them. i got the this recipe from a woman at a shower (or something very close to it...lol).,3.5,50,5,17,3.923123037
little kick  jalapeno burgers,"jalapeno peppers, fresh cilantro, light beer, hot pepper sauce, garlic cloves, pepper, salt, cayenne pepper, lean ground turkey, monterey jack pepper cheese, dinner rolls, salsa, fat free sour cream, lettuce","in a large bowl , combine the first eight ingredients. crumble turkey over mixture and mix well. shape into 6 patties. coat grill rack with cooking spray before starting the grill. grill burgers , covered , over medium heat for 2-3 minutes on each side or until no longer pink. top with cheese. cover and grill 1-2 minutes longer or until cheese is melted. serve on rolls with salsa sour cream and lettuce",Healthy,"this recipe was originally submitted to taste of home's healthy cooking magazine by dawn dhooghe of concord, north carolina.  ""i lightened up one of my husband's favorite burgers, although the original was good, we actually like this better.""",5.0,16,14,8,4.709442699
lofthouse  sugar cookies,"french vanilla cake mix, vegetable oil, eggs","preheat oven to 375f. blend , cake mix , eggs , and oil until moistened. roll into 1"" balls. place on ungreased cookie sheet. flatten with a glass or cookie stamp. bake at 375f for 6-8 minutes. allow to cool 1 minute before removing to cooling rack. while the cookies are still a little warm , spread on some buttercream frosting. allow the frosting to set up before storing",Non-veg,"i found this copycat recipe for lofthouse sugar cookies online somewhere.  not sure how much it makes, and i haven't tried it yet, but i will be soon!",4.3,18,3,9,4.313213164
mcgriddle  pancakes breakfast sandwich,"bisquick, egg, syrup, milk, american cheese, bacon","mix first four ingredients. pour 1 / 4 cup batter for each pancake onto a 300 degree griddle. flip when pancakes start to bubble. place warm cheese on meat , sandwich between pancakes",Non-veg,"these are so great as pancakes, but even better as sandwiches! (can be frozen for oamc, also.)",3.5,15,6,4,3.923123037
need a pick me up  banana peanut butter smoothie  no,"banana, milk, creamy peanut butter, unsweetened cocoa powder",cut banana into chunks. combine 1 / 3 banana chunks and milk and use hand blender or regular blender to mix well. i use a hand blender and blend in a hard plastic cup. slowly add rest of banana and blend. add peanut butter. blend well. add cocoa powder and push powder underneath liquid so as to not splatter when turning on blender. blend well. enjoy !,Healthy,"i love coffee but i have come to accept the fact that coffee just does not love me back (headaches, upset stomach, etc.)  sooo, this is the recipe i reach for when i need a healthy pick-me-up in the morning.  it is peanut buttery, and slightly chocolatey.  enjoy.",4.142857143,10,4,9,4.216816754
no egg  tomato soup cake,"white sugar, butter, tomato soup, water, flour, baking soda, cinnamon, ground cloves, nutmeg, salt, raisins, chocolate chips","cream butter and sugar together. add tomato soup. add water , rinsing can. sift dry ingredients together. add dry ingredients to creamed product. spray generously loaf pan with butter and flour spray. pour batter into pan. bake at 350 degrees for 1 hour. let cool for 10 minutes and remove from pan",Veg dessert,"most of these cakes listed include eggs.  this has been in my family for over 50 years, and is always well-received.  it is baked in a loaf pan, and iced with either cream cheese or plain white icing.",5.0,75,12,9,4.813213164
no fuss  easy baked artichokes,"artichoke, garlic cloves, lemon, olive oil, sea salt, broth","rinse and trim the artichoke , cutting the stem off straight so that the artichoke can stand up on it's own without. spread artichoke petals open as far as possible without snapping. between the petals: squeeze lemon juice , drizzle olive oil and broth and stuff garlic. sprinkle the top of the artichoke with sea salt. tightly double wrap and seal the artichoke with heavy-duty aluminum foil. place artichoke , making sure that it is standing up straight so the liquid doesn't come out in a pre-heated 425 oven and bake. remove from oven and remove wrapping",Veg,this recipe comes from an ocean mist farms card that my mom saved for years without trying before i discovered it. enjoy as it is or scoop out the fuzzy choke center to use the baked artichoke as an edible bowl filled with stew or dip.,4.0,65,6,7,4.153887144
no sausage     gravy for biscuits and gravy,"butter, flour, milk, poultry seasoning, salt, pepper","melt butter in a saucepan over medium heat. sprinkle flour over melted butter and whisk together to form a paste. allow this to cook for a minute. pour in milk , all at once , whisking constantly. add seasonings , whisking constantly. allow the gravy to come to a boil , still whisking. taste and adjust seasoning , if necessary",Healthy,"so what do you do when you are craving some yummy, comforting biscuits and gravy and there is no breakfast meat to be found?  no sausage, no bacon to provide drippings upon which to build a cream gravy?  no sausage?!?!?  you gain inspiration from 'zaar, of course, and post your delicious results so others don't have to be in the same position.  start your meal by mixing and putting in the oven your favorite recipe for biscuits (mine is recipe #77417).  while the biscuits are baking, whip this up:",4.421052632,7,6,7,4.408042795
no time flat  nuked nachos with salsa and cheese,"refried beans, sour cream, salsa, cheddar cheese, corn tortilla chips","with a large spoon , spread out the beans in a ring on a large microwave-safe dinner plate , leaving about 4 inches in the center of the plate ,. smear the sour cream and then the salsa over the beans. sprinkle about half of the cheese over everything. microwave on high for 2 minutes. remove the plate from the microwave , pile the chips in the center of the plate. sprinkle the remaining cheese over the chips. return the plate to the oven and microwave on high for another minute or until the cheese has melted. remove carefully as the plate will be hot. serve hot",Healthy,"so easy to make, only 4 ingredients... it's the super-ultimate party dish! just a few minutes in the microwave with will make everything gooey and hot...so easy to make. this is so simple to put together and so good, and takes less than 10 minutes to throw together and heat in the microwave! you will be making this every weekend! prep time includes microwaving time. feel free to throw on other ingredients like onions and chopped tomatoes after cooking. got lots of people to serve?... then make up two plates or three or four!",4.166666667,10,5,9,4.211561518
old reliable  french bread  for kitchen aid mixers,"active dry yeast, water, salt, margarine, all-purpose flour, cornmeal, egg white","dissolve yeast in warm water in warmed mixer bowl. add salt , butter , and flour. attach bowl& dough hook to mixer , turn to speed 2 and mix about 1 minute or until well blended. knead on speed 2 about 2 minutes longer. dough will be sticky. put dough in large greased bowl , turning to coat. cover and let rise in warm place , free from draft , about 1 hour , or until doubled in bulk. punch dough down and divide in half. roll each half into 12"" x 15"" rectangle. roll dough tightly , from longest side , tapering ends , if needed / wanted. put loaves on greased baking sheets that have been dusted with cornmeal. cover and let rise in warm place , free from draft , about 1 hour , or until doubled in bulk. with sharp knife , make 4 diagonal cuts on top of each loaf. bake at 450f for 25 minutes , then remove from oven. beat egg white and water together and brush each loaf with this mix. return to the oven and bake 5 minutes longer. immediately remove from baking sheets and cool on wire racks. serve with your favorite spread such as herbed butter , garlic bread topping , etc",Healthy,"this recipe came with my kitchen aid mixer, and makes two absolutely beautiful loaves of french bread. i misplaced my recipe book and recently found it again, so am adding this recipe to zaar for safe-keeping! make sure you use a very, very sharp knife to make the diagonal slashes. this bread is delicious on its own, for sopping up stew or soup broth, and with your favorite cheeses or toppings. prep time specified includes rising time.",4.246153846,170,7,18,4.251956294
olive garden  salad and dressing recipe,"mayonnaise, white vinegar, vegetable oil, corn syrup, parmesan cheese, romano cheese, fresh garlic clove, italian seasoning, parsley flakes, lemon juice, sugar, dole italian salad variety, purple onions, jumbo black olives, banana peppers, crouton, roma tomatoes, pepper","for the dressing: mix the first eleven ingredients in a blender until well mixed. if this is a little to tart for your own personal taste , add 1 tablespoon of sugar. for the salad: pour 1 / 2 package of the salad blend into a large salad bowl. top with 1 / 2 of the onion , olives , banana peppers , croutons and tomatoes. add dressing to taste and toss well. add the other 1 / 2 bag of salad and more dressing to taste. toss well. top the salad with the remaining onion , olives , banana peppers , croutons and tomatoes. pass the grated parmesan cheese and black pepper mill at the table",Veg dessert,"this salad with it's dressing is wonderfully authentic in taste to the salad served at the ""olive garden"" restaurants. the dressing recipe makes enough dressing to cover a large bowl of salad.",3.0,15,18,9,3.673123037
one pot   dinner,"ground beef, bacon, onion, pork and beans, kidney beans, butter beans, ketchup, brown sugar, liquid smoke, white vinegar, salt, pepper","brwon ground beef in skillet , drain off fat and put in crock pot. cut bacon in small pieces. fry bacon and onions till brown. drain off fat. add bacon , onions , and remaining ingredients to crock pot. stir together well. cover and cook on low for 4 to 9 hours. if using the 2 quart crock pot , reduce this recipe by half",Veg dessert,"men seem to love this. this is different than the other one pot dinners i have seen posted. easy simple and the crock pot is always the best way to cook on a busy day. this dish is great for the winter on a cold blustery day. tastes great, easy, what more could we ask for.",4.75,260,12,8,4.548123037
oopah    feta chicken breasts,"boneless skinless chicken breasts, lemon juice, salt, black pepper, feta cheese, green peppers, roma tomato, scallions, fresh parsley","preheat oven to 350 and spray baking pan with small amount of vegetable cooking spray. randomly pierce chicken breasts with a fork to absorb lemon juice. sprinkle 2 t lemon juice over chicken breasts , then season with salt and pepper. top evenly with feta cheese , green pepper , chopped tomatoes and scallions , reserving a portion of green stems for garnishing later. drizzle with remaining lemon juice. bake uncovered in oven for 40-45 minutes until cooked through. before serving , sprinkle with diced scallion greens and chopped parsley. if desired , a small amount of additional lemon juice can be drizzled over dish. serve with crusty bread and butter and green vegetable of your choice. we like cut green beans sprinkled with a little oregano and melted butter. enjoy !",Healthy,"i developed this recipe after seeing one that was similar, but did not have tomatoes, scallions and green pepper in it.  my husband normally does not like feta cheese very much, but really liked the tang it gave this dish.  the dish is as colorful and eye-pleasing as it is tasty.  i hope you enjoy this!",4.818181818,55,9,11,4.692332286
pancakes  in a bowl,"bisquick, water, powdered sugar, syrup, fruit","combine the bisquick heart smart and water or milk. stir well. microwave on high for 2 minutes. top with powdered sugar , syrup , fruit , or whatever you would like !",Veg dessert,"this is just a random recipe that i decided to try while i was in one of my experimental moods in the kitchen!  it's great plain, but i like it with a sprinkling of powdered sugar or syrup!  :)",5.0,3,5,4,4.709442699
payday  candy bar squares,"salted peanuts, butter, peanut butter chips, sweetened condensed milk, miniature marshmallows",put half the peanuts in lightly greased 11x7 pan. melt butter and chips on low. remove from heat. add milk and marshmallows. stir well. pour over peanuts. sprinkle with remaining peanuts. chill and cut into bars,Veg,just like a payday candy bar. my family eats this up!!,4.8,10,5,8,4.598331588
perfect chocolate cake  mccall s cooking school,"unsweetened cocoa, boiling water, all-purpose flour, baking soda, salt, baking powder, butter, sugar, eggs, vanilla, semisweet chocolate pieces, light cream, confectioners' sugar, heavy cream, vanilla extract","in medium bowl , combine cocoa with boiling water , mixing with wire whisk until smooth. cool completely. sift flour with soda , salt and baking powder. preheat oven to 350f. grease well and lightly flour three 9 by 1 1 / 2 inch layer-cake pans. in large bowl of electric mixer , at high speed , beat butter , sugar , eggs , and vanilla , scraping bowl occasionally until light-about 5 minutes. at low speed , beat in flour mixture , alternately with cocoa mixture , beginning and ending with flour mixture. do not overbeat. divide evenly into pans. smooth top. bake 25 to 30 minutes , or until surface springs back when gently pressed with finger. cool in pans 10 minutes. carefully loosen sides with spatula. 4. remove from pans. cool on racks. frosting: in medium saucepan , combine chocolate pieces , cream , butter. stir over medium heat until smooth. remove from heat. with whisk , blend in 2 1 / 2 cups confectioners' sugar. in bowl set over ice beat until it holds shape. 18. filling: whip cream with sugar and vanilla. refrigerate. to assemble cake: on plate place a layer , top side down. spread with half of cream. place second layer , top side down. spread with rest of cream. place third layer , top side up. to frost: with spatula , frost sides first , covering whipped cream. use rest of frosting on top , swirling decoratively. refrigerate at least 1 hour before serving. to cut , use a thin-edged sharp knife. slice with a sawing motion. and forget the swirls. i think it looks gourmet just to spread the frosting. it dries really dark and looks cool. somethimes i just drag a sharp knife across the top in lines and sometimes i leave it as it is. from mccall's cooking school",Non-Veg dessert,"my grandmother use to make this every christmases, some the recipe got out of her book never to be seen again!! finally found it!  makes a truly wonderful chocolate cake",3.0,180,15,39,3.384641735
please make those meatballs    crockpot meatballs,"frozen meatballs, cream of mushroom soup, brown gravy mix, beef bouillon cube, water",put meatballs in the crockpot. combine the rest of the ingredients. pour soup mix over meatballs and stir. cover and cook on low for 8 hours or on high for 4 hours,Healthy,"my kids, and the neighbourhood kids, are always asking for me to make these...little do they know it is so easy!  i put it together in the morning, or even the night before, and the crockpot does the rest.  i have made bigger and smaller batches...just adjust ingredients accordingly:)  awesome over mashed potatoes or egg noodles.",4.333333333,245,5,4,4.337306484
radler mass   german beer cooler,"beer, carbonated lemon-lime beverage, ice, lemon twist","take equal parts of beer and lemon lime soda over just a little ice to keep it chilled. be careful it will foam up a lot so take it slow. as you come to taste it , you can change how much beer or soda - if you really like beer the combination can be 3 / 4 beer to 1 / 4 soda. in germany , at least where i lived in the bavarian area in the south , this is very popular with the young people. worth a try ! :)",Healthy,"as i watch my dear food network right now, it's on dinner impossible with robert making meals from beer, and this reminds me of something i learned when i was living in the southern part of germany.  i figured i should share this as we don't get anything like this in the u.s. but it's really good.  i normally don't like beer that much because it's too bitter for my taste most times, and german beer is the strongest i know!  anyway, this recipe can be made with any kind of beer but dark beer works really well.  the combination sweetens up the beer a little, lowers the alcohol content even more, and gives it a unique taste, it's a little sweeter and less bitter, i guess you could call this the german version of a wine cooler... try it for your next party, even those who don't normally choose beer as their drink at a party will like it.",4.833333333,5,4,5,4.63849843
s wonderful carrot and raisin salad,"carrots, raisins, lemon zest, lemon juice, confectioners' sugar, salt, mayonnaise, pecans",grate carrots coarsely. add remaining ingredients and mix well. refrigerate,Veg dessert,this is still another recipe from the just vegetables website.  one of the best i have ever tasted.  never missed the pineapple!,5.0,30,8,3,4.673123037
sara lee   pound cake   copycat,"butter, powdered sugar, eggs, sour cream, flour, lemon extract, vanilla","preheat oven to 325. spray 8-1 / 2"" pyrex loaf dish with pam. cream butter with sugar on high speed of mixer for 5 minutes. add 1 egg and then a little flour , beating 2 minutes. add 2nd egg and half of remaining flour and beat 2 minutes. add sour cream , rest of flour and extracts , beating 2 minutes. spread batter evenly in dish. bake for 65 minutes or until tester comes out clean. remove from dish. slice 1 / 2"" thick. be sure to slice before freezing loaf. thaw to use within 6 months",Non-Veg dessert,i just love pound cake!,3.2,84,7,12,3.527498878
second only to my meatloaf  meatballs,"ground beef, oatmeal, onion, egg, milk, salt, ketchup, vinegar, sugar, prepared mustard","mix together all the ingredients for the meatballs in large mixing bowl. shape into balls the size of golf balls. place meatballs in shallow baking dish. combine sauce ingredients. pour over meat. bake at 350 for 45 minutes to 1 hour. sauce should be caramelized , but not dry. meatballs can be made ahead of time and frozen. i've never done it with this recipe , but the crockpot could be a possibility !",Veg dessert,"my daughters, ages 12 and 6, love my meatloaf! but when i want to give them something close to it, but different, these meatballs are just the thing!",3.6,90,10,9,3.931664922
sin free  fries,"potato, salt, non-fat cooking spray","cut the potato into fries as usual and then boil them for a few minutes in salted water. drain them then shake them in the pan to ""rough"" up the surfaces. spray a baking sheet with cooking spray and spread the potatoes on it. spray some more cooking spray on the potatoes. cook them in a fairly hot oven , around 200-220c until they are nice and crispy , turning at least once",Healthy,"this is what we used to make when i was on the slimming world plan. they are sin free on a green day. quantity of potatoes and serving size is subjective, just make however much you would normally for the amount of people you are cooking for.",4.25,35,3,5,4.298123037
skinny  fries,"baking potatoes, oil, cajun seasoning, salt and pepper","scrub the potatoes and cut lengthwise into 3 equal slices. cut each slice into thirds or fourths. as the potatoes are cut , place them in a dish of ice water. preheat oven to 425 degrees. when oven is hot , drain off the water , remove potatoes and pat dry with a paper towel. return the dried potatoes to the bowl , sprinkle with seasoning and drizzle with oil. evenly distribute the oil and seasoning with your hands. place on a cookie sheet or jelly roll pan that has been sprayed with non-stick cooking spray and bake until golden brown and tender. approximately 30 minutes , turning frequently. sprinkle with additional seasoning if desired or salt and pepper to taste",Healthy,this recipe comes from the new american diet cookbook with some changes by me.  the secret here is to soak the potatoes in ice water for 10 to 15 minutes while the oven is preheating.,4.80952381,50,4,10,4.735399372
